sensitivity,cluster,size,pct,players,duration_median,duration_p95,event_count_median,no_event_rate_pct,missing_mode_rate_pct,trajectory_last_pct,minimal_score
exclude_2023_01_31_to_2023_02_07,0,8002,8.29566659755339,7982,54.291666666666664,271.1958333333333,9.0,0.012496875781054738,0.06248437890527368,0.08747813046738316,12.0
exclude_2023_01_31_to_2023_02_07,1,5318,5.513166079203815,3150,0.5833333333333334,7.421666666666654,0.0,98.21361414065439,98.66491162091012,50.15043249341857,4.0
exclude_2023_01_31_to_2023_02_07,2,30906,32.040223927016385,5236,29.316666666666663,131.13333333333333,2.0,0.0,0.0,29.48294829482948,12.0
exclude_2023_01_31_to_2023_02_07,3,46013,47.701637984656855,6520,82.46666666666667,338.0133333333334,10.0,0.0,0.0,22.269793319279334,16.0
exclude_2023_01_31_to_2023_02_07,4,6221,6.449305411569563,2704,94.66666666666669,426.23333333333335,13.0,0.016074586079408457,0.9484005786850989,26.812409580453306,14.0
pre_2023_01_31_only,0,5296,6.503745548323714,2097,92.225,422.2875,12.0,0.0,0.8119335347432024,24.69788519637462,15.0
pre_2023_01_31_only,1,26579,32.640304556060414,4069,29.016666666666666,131.2216666666666,2.0,0.0,0.0,26.97618420557583,11.0
pre_2023_01_31_only,2,7001,8.597568463711163,6981,53.93333333333333,261.78333333333336,9.0,0.014283673760891302,0.057134695043565206,0.09998571632623911,11.0
pre_2023_01_31_only,3,3946,4.845879896843916,2309,0.5666666666666667,8.645833333333332,0.0,98.12468322351748,98.55549923973645,43.20831221490117,4.0
pre_2023_01_31_only,4,38608,47.412501535060784,4963,80.28333333333333,334.4716666666667,10.0,0.0,0.0,19.037505180273516,15.0
