date,sessions,pct_cluster,subset_sessions,cluster_share_of_day_pct
2022-08-19,107,2.0135491155438467,2650,4.037735849056603
2022-08-22,90,1.6936394429808055,2286,3.937007874015748
2022-08-20,84,1.5807301467820851,2544,3.30188679245283
2022-09-08,79,1.4866390666164848,1166,6.775300171526586
2022-08-21,75,1.4113662024840046,2503,2.9964043148222133
2022-08-23,72,1.3549115543846444,2062,3.4917555771096023
2023-03-29,70,1.3172751223184043,70,100.0
2022-08-25,63,1.1855476100865636,1740,3.620689655172414
2022-08-27,60,1.1290929619872037,1795,3.3426183844011144
2022-09-09,60,1.1290929619872037,1086,5.524861878453039
2022-08-24,59,1.1102747459540836,1837,3.211758301578661
2022-09-03,58,1.0914565299209635,1375,4.218181818181818
2022-09-06,58,1.0914565299209635,1231,4.711616571892771
2022-08-31,58,1.0914565299209635,1378,4.2089985486211905
2023-02-08,57,1.0726383138878435,646,8.823529411764707
2023-02-09,57,1.0726383138878435,576,9.895833333333332
2022-09-05,56,1.0538200978547234,1421,3.9408866995073892
2022-08-26,55,1.0350018818216034,1675,3.2835820895522385
2023-03-04,54,1.0161836657884833,393,13.740458015267176
2023-03-03,53,0.9973654497553632,359,14.763231197771587
2022-08-18,52,0.9785472337222431,1162,4.475043029259897
2022-09-04,50,0.940910801656003,1374,3.6390101892285296
2022-08-28,49,0.9220925856228829,1702,2.8789659224441833
2022-09-10,48,0.9032743695897629,1192,4.026845637583892
2023-03-02,48,0.9032743695897629,334,14.37125748502994
2022-09-11,46,0.8656379375235227,1173,3.9215686274509802
2023-02-18,45,0.8468197214904027,476,9.453781512605042
2022-09-02,43,0.8091832894241625,1272,3.380503144654088
2022-09-14,43,0.8091832894241625,876,4.908675799086757
2023-02-17,42,0.7903650733910426,462,9.090909090909092
2023-02-12,41,0.7715468573579225,499,8.216432865731463
2022-08-30,41,0.7715468573579225,1401,2.9264810849393292
2023-02-10,40,0.7527286413248023,516,7.751937984496124
2022-08-29,38,0.7150922092585623,1560,2.435897435897436
2022-09-13,38,0.7150922092585623,1026,3.7037037037037033
2022-09-17,38,0.7150922092585623,873,4.352806414662084
2022-09-18,37,0.6962739932254423,929,3.982777179763186
2022-09-12,37,0.6962739932254423,982,3.7678207739307537
2023-02-16,36,0.6774557771923222,486,7.4074074074074066
2022-10-28,36,0.6774557771923222,321,11.214953271028037
2023-02-13,35,0.6586375611592021,453,7.72626931567329
2022-09-22,35,0.6586375611592021,630,5.555555555555555
2022-09-01,34,0.6398193451260821,1281,2.6541764246682282
2022-09-16,34,0.6398193451260821,805,4.22360248447205
2023-02-11,33,0.6210011290929619,502,6.573705179282868
2022-09-07,33,0.6210011290929619,1176,2.806122448979592
2022-09-21,32,0.602182913059842,693,4.617604617604617
2023-03-28,32,0.602182913059842,114,28.07017543859649
2022-10-05,32,0.602182913059842,429,7.459207459207459
2022-09-20,31,0.5833646970267219,685,4.525547445255475
2023-03-05,31,0.5833646970267219,314,9.872611464968154
2023-02-19,31,0.5833646970267219,390,7.948717948717948
2023-03-06,30,0.5645464809936018,238,12.605042016806722
2022-09-30,29,0.5457282649604818,490,5.918367346938775
2022-09-15,29,0.5457282649604818,869,3.33716915995397
2023-02-20,29,0.5457282649604818,392,7.3979591836734695
2022-09-19,29,0.5457282649604818,776,3.7371134020618557
2022-10-03,28,0.5269100489273617,454,6.167400881057269
2022-09-26,28,0.5269100489273617,557,5.026929982046679
2023-03-26,28,0.5269100489273617,217,12.903225806451612
2022-10-30,27,0.5080918328942416,348,7.758620689655173
2023-03-11,27,0.5080918328942416,268,10.074626865671641
2022-11-22,27,0.5080918328942416,182,14.835164835164836
2023-02-25,27,0.5080918328942416,342,7.894736842105263
2022-10-01,27,0.5080918328942416,514,5.252918287937743
2022-10-29,26,0.48927361686112153,308,8.441558441558442
2022-11-03,26,0.48927361686112153,308,8.441558441558442
2022-10-27,26,0.48927361686112153,306,8.49673202614379
2023-02-23,26,0.48927361686112153,359,7.242339832869081
2022-09-25,26,0.48927361686112153,611,4.25531914893617
2023-01-21,26,0.48927361686112153,216,12.037037037037036
2023-02-15,25,0.4704554008280015,383,6.527415143603134
2022-10-23,25,0.4704554008280015,309,8.090614886731391
2022-10-04,24,0.45163718479488146,454,5.286343612334802
2023-01-19,24,0.45163718479488146,196,12.244897959183673
2022-11-06,24,0.45163718479488146,304,7.894736842105263
2022-09-27,24,0.45163718479488146,565,4.2477876106194685
2022-10-08,24,0.45163718479488146,457,5.25164113785558
2022-10-19,24,0.45163718479488146,306,7.8431372549019605
2022-10-02,24,0.45163718479488146,488,4.918032786885246
2022-09-23,24,0.45163718479488146,607,3.9538714991762767
2022-11-04,23,0.43281896876176135,287,8.013937282229964
2023-02-14,23,0.43281896876176135,381,6.036745406824147
2022-12-08,23,0.43281896876176135,166,13.855421686746988
2022-11-23,23,0.43281896876176135,215,10.69767441860465
2023-02-21,23,0.43281896876176135,362,6.353591160220995
2023-03-12,23,0.43281896876176135,237,9.70464135021097
2023-03-23,23,0.43281896876176135,179,12.849162011173185
2022-09-28,22,0.41400075272864134,500,4.3999999999999995
2023-03-10,22,0.41400075272864134,233,9.44206008583691
2022-10-09,22,0.41400075272864134,456,4.824561403508771
2022-09-24,22,0.41400075272864134,598,3.678929765886288
2022-11-09,22,0.41400075272864134,257,8.560311284046692
2022-11-25,22,0.41400075272864134,217,10.138248847926267
2023-01-23,21,0.3951825366955213,169,12.42603550295858
2023-03-21,21,0.3951825366955213,174,12.068965517241379
2022-11-11,21,0.3951825366955213,272,7.720588235294118
2022-09-29,21,0.3951825366955213,452,4.646017699115045
2022-10-07,21,0.3951825366955213,407,5.159705159705159
2022-10-17,21,0.3951825366955213,336,6.25
2022-10-15,21,0.3951825366955213,386,5.4404145077720205
2023-01-30,21,0.3951825366955213,250,8.4
2022-11-14,20,0.37636432066240116,254,7.874015748031496
2022-12-05,20,0.37636432066240116,214,9.345794392523365
2023-03-17,20,0.37636432066240116,173,11.560693641618498
2023-01-24,19,0.35754610462928116,253,7.5098814229249005
2022-10-11,19,0.35754610462928116,396,4.797979797979798
2023-02-26,19,0.35754610462928116,330,5.757575757575758
