recent_s4_density_prev5,predicted_recovery_fit,predicted_recovery_low,predicted_recovery_high
0.0,0.43555034735914,0.3849160850760851,0.48756550708531315
0.01,0.42605093957961726,0.3759705549467499,0.4776956279993973
0.02,0.4166186219268935,0.36695563614656695,0.4680335921229745
0.03,0.4072724291769586,0.35789532810122926,0.45859643578703
0.04,0.3980307898304563,0.34881705462837065,0.4493961406665752
0.05,0.3889114343079033,0.3397509853060388,0.4404400301877155
0.06,0.3799313134283584,0.3307291786668568,0.4317313887095495
0.07,0.37110652830179974,0.32178463165926124,0.42327022394595865
0.08,0.36245227249558315,0.31295032213612534,0.4150540889804012
0.09,0.3539827870573506,0.30425831906556955,0.40707889050580526
0.1,0.3457113287002308,0.29573901410095205,0.3993396292910783
0.11,0.33765015119008,0.28742050432139976,0.3918310411887877
0.12,0.32981049972678067,0.27932813436392234,0.38454812731164184
0.13,0.3222026178889155,0.2714841896549166,0.3774865775159297
0.14,0.3148357665186002,0.2639077217904525,0.37064310127895045
0.15,0.3077182537644878,0.2566144816862321,0.36401568506908977
0.16,0.30085747537793855,0.24961693464397025,0.35760379664025405
0.17,0.2942599642705824,0.24292433260360574,0.3514085556647318
0.18,0.2879314482901431,0.23654282144609914,0.3454328878356773
0.19,0.2818769151534422,0.2304755644998063,0.3396816767583824
0.2,0.27610068348803257,0.22472286693819757,0.3341619250090951
0.21,0.27060272550665226,0.21927807069854766,0.3288799771437088
0.22,0.26536785552547554,0.2141160429700138,0.323832424098509
0.23,0.26037768147450374,0.20920790253980795,0.31901408593986014
0.24,0.25561445223572415,0.20452585352090208,0.3144203852455935
0.25,0.2510610492792016,0.20004347970006484,0.3100469012085187
0.26,0.2467009736601585,0.1957359772749372,0.305888983074705
0.27,0.24251832977786578,0.19158033674571082,0.30194141676522096
0.28,0.23849780707883378,0.18755547962844005,0.298198142511515
0.29,0.23462466069664928,0.18364235221915234,0.2946520238964118
0.3,0.2308846918563,0.17982397676298123,0.29129466988741864
0.31,0.2272642287292719,0.17608545990381563,0.2881163114046338
0.32,0.2237501083043827,0.1724139589469737,0.28510573290989516
0.33,0.22032965973561863,0.16879860790895448,0.28225025776117235
0.34,0.21699068953969916,0.16523040714694473,0.27953578403212404
0.35000000000000003,0.21372146894041127,0.16170208215024648,0.2769468655397861
0.36,0.21051072359184891,0.1582079184945854,0.27446683128109933
0.37,0.2073476258566538,0.15474358078147646,0.2720779355672308
0.38,0.20422178976647676,0.15130592351924324,0.26976153094390604
0.39,0.2011232687486275,0.14789280139028263,0.2674982564489538
0.4,0.1980425561638889,0.14450288532780411,0.2652682347422638
0.41000000000000003,0.1949705886645048,0.14113548948299542,0.263051272955089
0.42,0.19189875234732728,0.1377904126957002,0.26082706354538615
0.43,0.18881889164405666,0.13446779665652753,0.2585753828409842
0.44,0.18572332085757062,0.13116800168807816,0.25627628617595405
0.45,0.18260483821977222,0.12789150004896718,0.25391029950110533
0.46,0.17945674231155564,0.12463878590249512,0.2514586080451934
0.47000000000000003,0.17627285064886436,0.12141030058392953,0.24890324302060657
0.48,0.1730475202000044,0.11820637151674823,0.24622726752803056
