candidate,cluster,size,pct,players,primary_mode_top,primary_mode_top_pct,duration_minutes_median,days_since_previous_session_median,jobs_started_median,jobs_resumed_median,tasks_completed_median,items_purchased_median,job_completion_ratio_median,job_exit_ratio_median,progression_gain_median,mode_diversity_median,first_session_mean,no_started_or_resumed_job_mean,purchase_any_mean,long_over_12h_pct,completion_ratio_gt_1_pct,exit_ratio_gt_1_pct,PC1_mean,PC2_mean,PC3_mean,PC4_mean,PC5_mean
main_standardized_kmeans_k8,0,7534,7.119771683456501,3991,(missing),98.89832758162994,0.65,2.571875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09596495885319883,0.9988054154499602,0.00756570215025219,0.09291213166976374,0.0,0.0,5.06021939487874,-3.0275038828039373,1.2628031501771428,0.11444031044317324,-0.8022768169611554
main_standardized_kmeans_k8,1,11887,11.233438545427054,4153,Career,52.45225877008497,30.683333333333334,0.8451157407407407,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.05367207874148229,0.0,0.08496677042146883,0.22713889122570877,0.0,0.025237654580634306,1.326736642928775,0.26423979165369066,-0.9183593220886859,-0.26915993266042326,1.1113684322984592
main_standardized_kmeans_k8,2,8466,8.000529210531289,8466,Career,98.19277108433735,59.85,,2.0,0.0,2.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.45192534845263405,0.4842901015828018,0.10630758327427356,0.3307347035199622,-1.7183986411339094,-1.9523529338332515,-2.161694141089215,0.2512056176769119,-0.1702394724383838
main_standardized_kmeans_k8,3,2612,2.468389120943507,1914,Career,67.30474732006125,105.58333333333333,0.7152256944444444,4.0,0.0,4.0,1.0,0.75,1.0,1.0,2.0,0.3108728943338438,0.0,0.5298621745788668,1.339969372128637,0.19142419601837674,0.7656967840735069,-2.5803566562386275,-1.491632386410272,0.4268246347778744,-3.7211113979320625,0.26733684201104185
main_standardized_kmeans_k8,4,14891,14.07227503827326,4787,Career,97.7100261903163,57.48333333333333,0.7636574074074074,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,6.715465717547512e-05,0.0,0.07037808071989793,0.18803304009133034,0.10073198576321268,0.1611711772211403,-0.4919579528602622,0.7207978172160833,0.3845779092010117,0.1609449780739733,-0.26250880629666506
main_standardized_kmeans_k8,5,26671,25.20459657147177,6301,Career,97.17295939409846,122.33333333333331,0.7436574074074074,2.0,1.0,3.0,2.0,0.75,1.0,1.0,1.0,0.0049491957556897,0.0,0.8098683963855874,1.1398147800982341,0.16497319185632334,0.22496344344044092,-2.068193653942047,-0.11783992555588885,0.8336256941726247,0.34652106103753366,-0.3230250925189519
main_standardized_kmeans_k8,6,23245,21.966962142546638,4801,Career,99.17401591740159,28.95,0.7260416666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.19055414,1.0,0.0026672402667240265,0.0,0.100408690040869,0.18498601849860186,0.0,0.004302000430200043,1.496842537367727,1.5940957092289827,-0.22784954321778458,-0.14825844100017022,-0.2706032029741088
main_standardized_kmeans_k8,7,10512,9.934037687349978,2978,Career,52.32115677321156,62.63333333333333,0.7915277777777778,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.09170471841704718,0.4661339421613394,0.1617199391171994,0.24733637747336376,-0.46749646826085656,-0.433056204518447,-0.38769053676158916,0.16530818173694173,1.1787550282395203
pc1_pc5_gmm_diag_k5,0,8645,8.169687576782778,8484,Career,98.1607865818392,61.48333333333333,0.1636458333333333,2.0,0.0,2.0,0.0,0.75,1.0,1.0,1.0,0.9764025448235975,0.0,0.46905725853094277,0.6246385193753615,0.16194331983805668,0.3585887796414112,-1.7856592414168375,-1.9623170802039236,-2.095517093991622,0.26201462022794897,-0.15252253469747873
pc1_pc5_gmm_diag_k5,1,46709,44.140883403579735,6947,Career,91.63972681924254,86.83333333333333,0.7809837962962962,2.0,1.0,2.0,0.0,0.7142857142857143,1.0,1.0,1.0,0.0030615084887280824,6.422745081247725e-05,0.4807852876319339,0.7193474490997452,0.14130039178744996,0.2140915027082575,-1.3056239793360627,0.0870695195285918,0.44774190848317436,0.49252474051662404,-0.03507435173882716
