candidate,space,model,k,cluster,primary_game_mode,sessions,pct_within_cluster
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,1,Challenge,260,1.257010249468188
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,1,(missing),41,0.19822084703152196
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,2,Career,33381,93.68001571576909
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,2,FreePlay,1254,3.5192097213257374
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,2,Special,861,2.4162994976566665
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,2,Challenge,135,0.3788622905733449
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,2,(missing),2,0.005612774675160665
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,3,Career,19564,99.1485911210217
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,3,Special,79,0.4003648895195621
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,3,FreePlay,51,0.2584634096898439
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,3,(missing),32,0.16217311980539226
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,3,Challenge,6,0.03040745996351105
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,4,Career,8953,93.45511482254697
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,4,Special,365,3.8100208768267225
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,4,FreePlay,194,2.025052192066806
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,4,Challenge,67,0.6993736951983298
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,4,(missing),1,0.010438413361169102
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,5,(missing),7451,98.28518665083762
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,5,Career,77,1.0156971375807942
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,5,FreePlay,31,0.40891702941564434
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,5,Special,12,0.15829046299960428
pc1_pc5_kmeans_k6,pc1_pc5,kmeans,6,5,Challenge,10,0.1319087191663369
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,0,Career,12716,58.50740774822858
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,0,FreePlay,5220,24.017668169688047
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,0,Special,3545,16.31084936044907
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,0,Challenge,248,1.1410692923529953
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,0,(missing),5,0.02300542928131039
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,1,Career,4695,68.13234653896386
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,1,Special,916,13.292700624002322
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,1,FreePlay,914,13.263677260194456
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,1,Challenge,327,4.745319982585982
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,1,(missing),39,0.5659555942533739
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,2,Career,23764,95.79554158100537
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,2,FreePlay,504,2.0316846051517716
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,2,Special,483,1.9470310799371147
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,2,(missing),28,0.1128713669528762
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,2,Challenge,28,0.1128713669528762
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,3,Career,31542,99.95880209158612
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,3,FreePlay,7,0.022183489145935667
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,3,Special,6,0.01901441926794486
pc1_pc5_kmeans_k7,pc1_pc5,kmeans,7,4,(missing),7451,98.25926414347883
