candidate,space,model,k,cluster,size,pct,players,primary_mode_top,primary_mode_top_pct,zero_duration_pct,long_over_12h_pct,completion_ratio_gt_1_pct,exit_ratio_gt_1_pct,duration_minutes_mean,duration_minutes_median,days_since_previous_session_mean,days_since_previous_session_median,player_lifetime_days_mean,player_lifetime_days_median,jobs_started_mean,jobs_started_median,jobs_resumed_mean,jobs_resumed_median,jobs_completed_mean,jobs_completed_median,jobs_exited_mean,jobs_exited_median,tasks_completed_mean,tasks_completed_median,items_purchased_mean,items_purchased_median,job_completion_ratio_mean,job_completion_ratio_median,job_exit_ratio_mean,job_exit_ratio_median,progression_gain_mean,progression_gain_median,campaign_progression_gain_mean,campaign_progression_gain_median,mode_diversity_mean,mode_diversity_median,first_session_mean,no_started_or_resumed_job_mean,log_duration_minutes_mean,log_gap_days_mean,log_jobs_started_mean,log_jobs_resumed_mean,log_tasks_completed_mean,purchase_any_mean,job_completion_ratio_capped_mean,job_exit_ratio_capped_mean,PC1_mean,PC2_mean,PC3_mean,PC4_mean,PC5_mean
main_standardized_kmeans_k8,main_standardized,kmeans,8,0,7534,7.119771683456501,3991,(missing),98.89832758162994,0.053092646668436425,0.09291213166976374,0.0,0.0,3.9479913282010437,0.65,24.880496543241595,2.571875,77.52547415912062,54.969224537037036,0.0011945845500398195,0.0,0.0,0.0,0.001990974250066366,0.0,0.009689408016989648,0.0,0.0035837536501194586,0.0,0.2212636049907088,0.0,0.0,0.0,0.0,0.0,0.009201863599999997,0.0,0.00032092475609756096,0.0,0.9997345367666578,1.0,0.09596495885319883,0.9988054154499602,0.6954744815873104,1.5979097142067624,0.0008280229128005717,0.0,0.002137110457002307,0.00756570215025219,0.0,0.0,5.06021939487874,-3.0275038828039373,1.2628031501771428,0.11444031044317324,-0.8022768169611554
main_standardized_kmeans_k8,main_standardized,kmeans,8,1,11887,11.233438545427054,4153,Career,52.45225877008497,0.0,0.22713889122570877,0.0,0.025237654580634306,48.803205182131734,30.683333333333334,5.347481216437346,0.8451157407407407,45.931935251005605,25.661782407407408,1.1493227896020863,1.0,0.002523765458063431,0.0,0.0443341465466476,0.0,1.1413308656515522,1.0,0.21039791368722133,0.0,0.8372171279549088,0.0,0.018965686273870953,0.0,0.9915370514098207,1.0,0.05421888339558796,0.0,2.2194290292654127e-06,0.0,1.0275090434928913,1.0,0.05367207874148229,0.0,3.340395203826096,0.8951154224395179,0.7406061178481729,0.0017493409116512459,0.0919382378541866,0.08496677042146883,0.018965686273870953,0.9913940380338637,1.326736642928775,0.26423979165369066,-0.9183593220886859,-0.26915993266042326,1.1113684322984592
main_standardized_kmeans_k8,main_standardized,kmeans,8,2,8466,8.000529210531289,8466,Career,98.19277108433735,0.0,0.4842901015828018,0.10630758327427356,0.3307347035199622,90.7043133317584,59.85,,,0.0,0.0,2.9733049846444604,2.0,0.03673517599811009,0.0,2.3688873139617295,2.0,3.0063784549964563,2.0,3.4581856839121192,2.0,2.902905740609497,0.0,0.7559247440797339,0.75,1.000016390555948,1.0,0.894418325894401,1.0,0.036585971722182836,0.02631579,1.0,1.0,1.0,0.0,4.024163668348917,0.0,1.2851127080139155,0.02474152877369929,1.2196594069905853,0.45192534845263405,0.7552554000368957,0.9975091627652334,-1.7183986411339094,-1.9523529338332515,-2.161694141089215,0.2512056176769119,-0.1702394724383838
main_standardized_kmeans_k8,main_standardized,kmeans,8,3,2612,2.468389120943507,1914,Career,67.30474732006125,0.0,1.339969372128637,0.19142419601837674,0.7656967840735069,155.1619703930577,105.58333333333333,5.384922132201646,0.7152256944444444,24.691562943111563,3.5155960648148152,6.462480857580398,4.0,0.2549770290964778,0.0,5.319295558958652,3.0,6.6450995405819295,4.0,6.898928024502297,4.0,12.024119448698315,1.0,0.7310686411287466,0.75,0.9921489633921131,1.0,0.9084875749432804,1.0,0.06951359658559937,0.02631579,2.217457886676876,2.0,0.3108728943338438,0.0,4.629013274355771,0.5780816699094065,1.6761099376099908,0.14012748455863575,1.627465497649811,0.5298621745788668,0.7202636153734912,0.9896910626914865,-2.5803566562386275,-1.491632386410272,0.4268246347778744,-3.7211113979320625,0.26733684201104185
main_standardized_kmeans_k8,main_standardized,kmeans,8,4,14891,14.07227503827326,4787,Career,97.7100261903163,0.0,0.18803304009133034,0.10073198576321268,0.1611711772211403,74.63004723210886,57.48333333333333,4.874833570411412,0.7636574074074074,36.80013614440863,16.165949074074074,0.8301658720032234,1.0,1.052582096568397,1.0,1.2475992210059768,1.0,1.8439325767241959,2.0,1.4731717144583978,1.0,0.5864616211134243,0.0,0.7151513697951143,0.6666666666666666,0.9687451033062475,1.0,0.8242392441193631,1.0,0.00784472451749378,0.0,1.0580216237996105,1.0,6.715465717547512e-05,0.0,4.047436614966286,0.8495173474131744,0.5258539607100118,0.7084575064897645,0.8515796047704302,0.07037808071989793,0.7087045227062687,0.9674915497056389,-0.4919579528602622,0.7207978172160833,0.3845779092010117,0.1609449780739733,-0.26250880629666506
main_standardized_kmeans_k8,main_standardized,kmeans,8,5,26671,25.20459657147177,6301,Career,97.17295939409846,0.0,1.1398147800982341,0.16497319185632334,0.22496344344044092,163.5373233099621,122.33333333333331,4.10757682831905,0.7436574074074074,28.458848261376275,8.780578703703704,3.0049866896629296,2.0,0.8825315886168498,1.0,2.976978740954595,2.0,3.8751452888905553,3.0,4.187956956994489,3.0,6.981927936710284,2.0,0.732544325104173,0.75,0.9964283621577973,1.0,0.985418423191932,1.0,0.055036122998575195,0.05263153,1.082186644670241,1.0,0.0049491957556897,0.0,4.811303147111468,0.8031905064567115,1.2537763482666218,0.5607359901759154,1.4683472989850128,0.8098683963855874,0.7275691970417233,0.9955287153309262,-2.068193653942047,-0.11783992555588885,0.8336256941726247,0.34652106103753366,-0.3230250925189519
main_standardized_kmeans_k8,main_standardized,kmeans,8,6,23245,21.966962142546638,4801,Career,99.17401591740159,0.0,0.18498601849860186,0.0,0.004302000430200043,44.330934968093494,28.95,4.185329141444641,0.7260416666666667,39.90016864488978,19.75116898148148,0.0499462249946225,0.0,1.0282641428264143,1.0,0.0012475801247580124,0.0,1.0728328672832868,1.0,0.12166057216605722,0.0,0.7933749193374919,0.0,0.00041442604144260414,0.0,0.9949006954900695,1.0,0.23946779044273184,0.19055414,6.804630882606438e-06,0.0,1.0331254033125403,1.0,0.0026672402667240265,0.0,3.272613568684628,0.813970566926304,0.033344765417689166,0.7027408914422636,0.06086787917722706,0.100408690040869,0.00041442604144260414,0.9948576754857675,1.496842537367727,1.5940957092289827,-0.22784954321778458,-0.14825844100017022,-0.2706032029741088
main_standardized_kmeans_k8,main_standardized,kmeans,8,7,10512,9.934037687349978,2978,Career,52.32115677321156,0.0,0.4661339421613394,0.1617199391171994,0.24733637747336376,90.09884100710299,62.63333333333333,3.2670372220108237,0.7915277777777778,44.70554405525079,25.15530671296296,1.8804223744292237,2.0,0.0013318112633181126,0.0,1.5570776255707763,1.0,1.8726217656012176,2.0,1.7199391171993912,1.0,1.10074200913242,0.0,0.8644786850801405,1.0,0.9945165430396594,1.0,0.36685774950199285,0.0,0.007089642411529672,0.0,1.0318683409436835,1.0,0.0,0.0,4.136349642662546,0.7958798038811468,0.9883209349466188,0.0009231412222069285,0.9131406549490361,0.09170471841704718,0.8610476855874973,0.9930832604419934,-0.46749646826085656,-0.433056204518447,-0.38769053676158916,0.16530818173694173,1.1787550282395203
pc1_pc5_gmm_diag_k5,pc1_pc5,gmm_diag,5,0,8645,8.169687576782778,8484,Career,98.1607865818392,0.0,0.6246385193753615,0.16194331983805668,0.3585887796414112,96.74999614420666,61.48333333333333,0.25763883215323163,0.1636458333333333,0.36693486119144014,0.0,3.2011567379988435,2.0,0.031925968768074034,0.0,2.6002313475997685,2.0,3.2285714285714286,2.0,3.7982648930017353,2.0,3.3866975130133024,0.0,0.7663132271992242,0.75,0.9998811881441025,1.0,0.8979667443961018,1.0,0.041962192277617105,0.02631579,1.0001156737998844,1.0,0.9764025448235975,0.0,4.064209684099866,0.004926419242113783,1.319908376837147,0.022029563402798095,1.2647916799010188,0.46905725853094277,0.7626335181190574,0.9973630796861442,-1.7856592414168375,-1.9623170802039236,-2.095517093991622,0.26201462022794897,-0.15252253469747873
pc1_pc5_gmm_diag_k5,pc1_pc5,gmm_diag,5,1,46709,44.140883403579735,6947,Career,91.63972681924254,0.0,0.7193474490997452,0.14130039178744996,0.2140915027082575,124.17988860105474,86.83333333333333,4.119853995066342,0.7809837962962962,32.756956210556616,12.507152777777778,2.077436896529577,2.0,0.7488278490226723,1.0,2.1182855552463122,2.0,2.8139330749962532,2.0,2.858828063114175,2.0,3.981202766062215,0.0,0.7330043050937575,0.7142857142857143,0.9911229093873841,1.0,0.8566281337342228,1.0,0.03147899665853082,0.02631578,0.9999571816994584,1.0,0.0030615084887280824,6.422745081247725e-05,4.494633826012071,0.8298521633368725,0.9782762725787715,0.49178048345510117,1.1752666627113737,0.4807852876319339,0.7295418124591294,0.9898914671268084,-1.3056239793360627,0.0870695195285918,0.44774190848317436,0.49252474051662404,-0.03507435173882716
