feature,non_null,missing_pct,zero_pct,negative_count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,top_1pct_share_of_sum,unique_values
duration_minutes,105818,0.0,0.0037800752234969474,0,87.25987292647125,114.38593006830448,0.0,0.2833333333333333,0.9166666666666666,22.616666666666667,53.96666666666667,107.53333333333332,285.2883333333332,566.1351666666671,1433.3166666666666,0.09100940007004873,19375
days_since_previous_session,94984,10.238333742841482,0.0,0,5.814416870965207,19.7862565801661,8.101851851851852e-05,0.0001967592592592,0.0013310185185185,0.16494212962962956,0.780474537037037,2.115836226851852,26.7234270833332,124.48898275462953,220.0814351851852,0.29022256883017433,72429
player_lifetime_days,105818,0.0,10.238333742841482,0,36.846331130958255,50.5034892313843,0.0,0.0,0.0,2.77603587962963,14.001840277777777,48.208836805555556,162.1548721064815,193.06546053240743,224.00725694444444,0.05568316035027294,93672
jobs_started,105818,0.0,33.345933584078324,0,1.5985843618288005,2.4606643315194785,0.0,0.0,0.0,0.0,1.0,2.0,5.0,10.0,85.0,0.10694080716958601,61
jobs_resumed,105818,0.0,44.345007465648564,0,0.6060878111474418,0.6109679051416952,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,12.0,0.052280346144850706,11
jobs_completed,105818,0.0,40.626358464533446,0,1.4068022453646827,2.6692080633575106,0.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,311.0,0.11827494709972122,67
jobs_exited,105818,0.0,7.667882590863558,0,2.1913474078134154,2.4719020683349253,0.0,0.0,0.0,1.0,2.0,3.0,6.0,10.0,83.0,0.08095858273964568,60
tasks_completed,105818,0.0,38.24207601731274,0,1.9313065830010017,3.522191018309867,0.0,0.0,0.0,0.0,1.0,2.0,8.0,14.0,311.0,0.11079088111094257,76
items_purchased,105818,0.0,69.54865901831447,0,2.7647753690298438,14.226769014507138,0.0,0.0,0.0,0.0,0.0,1.0,10.0,53.0,384.0,0.41082775333859717,269
job_completion_ratio,98293,7.111266514203633,33.52926723241792,0,0.4864913808726261,0.5376490037617454,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,72.0,0.028391566015255047,198
job_exit_ratio,98293,7.111266514203633,0.6256024494887449,0,0.991181279770471,0.09245297458221878,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.01177377603141145,78
progression_gain,98292,7.112211533009506,16.829839913814286,0,0.5958216026363067,0.4371601334458259,0.0,0.0,0.0,0.0884836175,0.893278068,1.0,1.0,1.0,1.0,0.018082627784011887,32651
campaign_progression_gain,98294,7.110321495397759,60.260069175376586,0,0.021879849368781398,0.051593946691009133,0.0,0.0,0.0,0.0,0.0,0.0263157949999999,0.1052631549999999,0.2105262714,1.0,0.16808810046969327,264
mode_diversity,105818,0.0,0.0018900376117484737,0,1.072445141658319,0.2805493111176374,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.023668534771421522,5
