session_id,label
p1_s0001,3
p1_s0002,0
p1_s0003,1
p1_s0004,3
p1_s0005,1
p1_s0006,3
p1_s0007,0
p1_s0008,3
p1_s0009,3
p1_s0010,0
p1_s0011,3
p1_s0012,3
p1_s0013,3
p1_s0014,3
p1_s0015,3
p1_s0016,1
p1_s0017,1
p1_s0018,0
p1_s0019,3
p1_s0020,3
p1_s0021,3
p1_s0022,0
p1_s0023,2
p1_s0024,2
p10_s0001,3
p10_s0002,1
p10_s0003,1
p10_s0004,1
p10_s0005,3
p10_s0006,0
p10_s0007,0
p10_s0008,1
p10_s0009,0
p10_s0010,3
p10_s0011,0
p10_s0012,3
p10_s0013,0
p10_s0014,3
p10_s0015,0
p100_s0001,3
p1000_s0001,0
p10000_s0001,1
p10000_s0002,0
p10001_s0001,1
p10002_s0001,1
p10002_s0002,1
p10002_s0003,0
p10002_s0004,1
p10002_s0005,1
p10002_s0006,0
p10002_s0007,3
p10002_s0008,2
p10003_s0001,0
p10003_s0002,3
p10003_s0003,1
p10003_s0004,0
p10003_s0005,3
p10003_s0006,3
p10003_s0007,0
p10003_s0008,3
p10003_s0009,0
p10003_s0010,2
p10003_s0011,2
p10004_s0001,0
p10004_s0002,1
p10004_s0003,0
p10004_s0004,1
p10004_s0005,3
p10004_s0006,1
p10004_s0007,1
p10004_s0008,1
p10004_s0009,1
p10004_s0010,3
p10004_s0011,0
p10004_s0012,3
p10004_s0013,1
p10004_s0014,3
p10004_s0015,0
p10004_s0016,1
p10004_s0017,3
p10004_s0018,3
p10004_s0019,1
p10004_s0020,1
p10004_s0021,0
p10004_s0022,0
p10004_s0023,2
p10004_s0024,0
p10004_s0025,0
p10004_s0026,3
p10004_s0027,0
p10004_s0028,3
p10004_s0029,0
p10007_s0001,4
p10007_s0002,3
p10007_s0003,1
p10007_s0004,0
p10007_s0005,1
p10007_s0006,1
p10007_s0007,0
p10007_s0008,1
p10007_s0009,0
p10007_s0010,0
p10007_s0011,1
p10007_s0012,4
p10007_s0013,2
