space,model,k,cluster,size,pct
pc1_pc5,kmeans,6,2,35633,33.67385510971668
pc1_pc5,kmeans,6,3,19732,18.64711107751044
pc1_pc5,kmeans,6,4,9580,9.05328016027519
pc1_pc5,kmeans,6,5,7581,7.16418756733259
pc1_pc5,gmm_diag,6,0,43567,41.17163431552288
pc1_pc5,gmm_diag,6,1,7100,6.709633521707083
pc1_pc5,gmm_diag,6,2,20684,19.546768980702716
pc1_pc5,gmm_diag,6,3,7517,7.103706363756639
pc1_pc5,gmm_diag,6,4,6855,6.478103914267893
pc1_pc5,gmm_diag,6,5,20095,18.99015290404279
pc1_pc5,kmeans,7,0,21734,20.539038726870665
pc1_pc5,kmeans,7,1,6891,6.512124591279367
pc1_pc5,kmeans,7,2,24807,23.443081517322195
pc1_pc5,kmeans,7,3,31555,29.820068419361544
pc1_pc5,kmeans,7,4,7583,7.166077604944339
pc1_pc5,kmeans,7,5,3980,3.761174847379463
pc1_pc5,kmeans,7,6,9268,8.758434292842427
pc1_pc5,gmm_diag,7,0,30939,29.237936834943017
pc1_pc5,gmm_diag,7,1,7522,7.10843145778601
pc1_pc5,gmm_diag,7,2,613,0.5792965280009073
pc1_pc5,gmm_diag,7,3,9158,8.654482224196261
pc1_pc5,gmm_diag,7,4,6497,6.139787181764917
pc1_pc5,gmm_diag,7,5,20256,19.14230093178854
pc1_pc5,gmm_diag,7,6,30833,29.137764841520347
pc1_pc5,kmeans,8,0,7603,7.184977981061823
pc1_pc5,kmeans,8,1,7300,6.898637282881929
pc1_pc5,kmeans,8,2,24593,23.240847492865107
pc1_pc5,kmeans,8,3,16023,15.142036326522899
pc1_pc5,kmeans,8,4,580,0.5481109074070574
pc1_pc5,kmeans,8,5,6464,6.108601561171067
pc1_pc5,kmeans,8,6,34771,32.85924889905309
pc1_pc5,kmeans,8,7,8484,8.017539549037025
pc1_pc5,gmm_diag,8,0,31521,29.78793777996182
pc1_pc5,gmm_diag,8,1,9037,8.540134948685479
pc1_pc5,gmm_diag,8,2,3202,3.0259502164093064
pc1_pc5,gmm_diag,8,3,7140,6.747434273942051
pc1_pc5,gmm_diag,8,4,7049,6.661437562607496
pc1_pc5,gmm_diag,8,5,30873,29.175565593755316
pc1_pc5,gmm_diag,8,6,4313,4.075866109735584
pc1_pc5,gmm_diag,8,7,12683,11.985673514902945
