month,sessions,pct
2023-02,1930,25.65806966232385
2023-01,1314,17.468758308960382
2022-09,1144,15.208721084817867
2022-08,903,12.004785961180538
2023-03,717,9.532039351236374
2022-10,624,8.29566604626429
2022-11,493,6.554107950013294
2022-12,397,5.277851635203403
