,to_0,to_1,to_2,to_3,to_4
from_0,0.006999255398361877,0.6317200297840655,0.2315711094564408,0.06924795234549516,0.060461653015636635
from_1,0.002260325578209548,0.5598073015365648,0.3398707733053266,0.050320783579533776,0.0477408160003653
from_2,0.00044930357945184964,0.4245918825819979,0.4684439119364984,0.056252808147371575,0.05026209375468024
from_3,0.004041660189647132,0.38053785170216076,0.29084408518576094,0.2504274832892896,0.07414891963314162
from_4,0.003654342218400688,0.25408426483233015,0.24097162510748066,0.03976784178847807,0.4615219260533104
