feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
first_session,-0.08937176914950953,-0.36611488559918,-0.534288375828979,-0.032735396756971534,-0.11624251869444438,-0.21249789474588732,-0.6624449719989517,-0.08090878093871257,0.21686951840333574,-0.1290407282497657,-0.060095651099656186,-0.009709152930200199
no_started_or_resumed_job,0.3085061073293669,-0.44405290916003787,0.2673717443005919,0.03221317303545644,-0.247278797768288,0.10569545715138964,0.038137936619776824,0.1391826338595242,0.12265971687922794,-0.02890950333776457,-0.029595752609994655,-0.7247164563283321
log_duration_minutes,-0.3860622656399833,0.1544741550928464,0.04345040344907293,0.03803568113904583,0.10557258084950989,0.013549287083859036,0.1326744441139743,0.3778949207324992,0.8045947709331102,-0.03491526456287652,-0.009473909800822591,-0.057803144674670535
log_gap_days,0.11534104844671944,-0.013151286831262314,0.5633860982413095,0.11150273102405171,0.6104860392827758,-0.19107508293070974,-0.49410594111194195,-0.0330033654083604,0.04264139251680413,-0.0020300800316207235,-0.01846953727833508,0.009508072674236145
log_jobs_started,-0.3756384029609749,-0.2855151175355688,0.005394738447181913,-0.12465675340663912,0.20497952306325418,-0.0017496751478064797,0.12481795396212042,0.3359317285626865,-0.3432907046967905,-0.22741112826748466,-0.6493782322545263,-0.010137389451554624
log_jobs_resumed,-0.07563355358836737,0.5010212508711652,0.30801919898275154,-0.017183767724351907,-0.5216939479790618,0.12698711509548993,-0.3556553692193243,-0.10860889044036026,0.007309391501580942,-0.3036530185629831,-0.3571198465741579,-0.04142535132921388
log_tasks_completed,-0.3900841797801901,-0.22795148211836946,0.1800520858111197,0.04263770222489999,-0.020824776526108105,0.2213216332270117,-0.006502831779013465,-0.06813964422488032,-0.13958502403860618,-0.6086262974868326,0.5617325783250281,0.04560761078323167
purchase_any,-0.26451730988732464,-0.1220252740624877,0.23504021357667854,0.19546621167971653,-0.2865535882823946,-0.8035805031253681,0.22245410329348494,-0.20424717192901481,-0.012386743038321227,0.048500710961861815,0.009371966647764395,0.006211276339221722
job_completion_ratio_capped,-0.350084723174601,-0.2109721616029181,0.07086226743758375,0.1775712955455869,0.08139185570173027,0.3850546626191432,0.06252380800519713,-0.6843246673027538,0.159576758672962,0.28762996326850715,-0.23971580989930613,-0.06014811934150996
job_exit_ratio_capped,-0.3012371510883731,0.43829282714193885,-0.277921227109869,-0.020640680933890546,0.2673810566787057,-0.13725424286601265,-0.052276394163518106,-0.09742783185593988,-0.23723336243671705,0.025408572125317493,0.1346452786672686,-0.6796163292419631
progression_gain,-0.37518335239177114,-0.07058197135856673,0.16017531063696164,0.09522531780208444,-0.2572046800727133,0.15090400169746218,-0.3155724677434538,0.39636612536806654,-0.25092486201395453,0.6025774176655313,0.21489688564890919,0.040863077266303366
mode_diversity,-0.10706837512268742,-0.06129267182995324,0.18240357244841465,-0.9418737005312496,-0.022422699009016285,-0.07904636202890011,-0.01193981447266479,-0.1558322708006115,0.08052409615336871,0.1345887538344668,0.09192408103323756,-0.012521200699311105
