feature,raw_mean,raw_std_sample,standardized_mean,standardized_std_sample
first_session,0.10238333742841482,0.30315319252034356,-5.2778033066910996e-17,1.0
no_started_or_resumed_job,0.07111266514203633,0.25701415961515583,-6.822198676333532e-17,1.0
log_duration_minutes,3.7730101640442513,1.3725126107185044,1.133451906068012e-16,1.0
log_gap_days,0.8084440197302232,1.0311683427431881,-3.86770318658279e-17,0.9999999999999999
log_jobs_started,0.7229571116862374,0.6211289544238601,-7.601111123631456e-17,1.0
log_jobs_resumed,0.401124719734887,0.3660689369267469,3.760266986955491e-17,0.9999999999999999
log_tasks_completed,0.7422415691580263,0.7327989766295684,-5.640400480433236e-18,1.0
purchase_any,0.3045134098168554,0.4602032099904275,-8.809768369438578e-17,1.0
job_completion_ratio_capped,0.44907340527087425,0.41004120380869336,9.467815092155789e-17,1.0
job_exit_ratio_capped,0.9198634210769422,0.2684269497333935,-1.4342732650244514e-16,1.0
progression_gain,0.5534455098974452,0.44829661903353,-7.453386349143919e-17,1.0
mode_diversity,1.072445141658319,0.2805493111176374,2.4388017315397037e-16,1.0
