feature,min,max,mean,std_sample,zero_pct
first_session,0.0,1.0,0.10238333742841482,0.30315319252034356,89.76166625715851
no_started_or_resumed_job,0.0,1.0,0.07111266514203633,0.25701415961515583,92.88873348579637
log_duration_minutes,0.0,6.3405976645004,3.7730101640442513,1.3725126107185044,0.0037800752234969474
log_gap_days,0.0,4.83221796790265,0.8084440197302232,1.0311683427431881,10.238333742841482
log_jobs_started,0.0,2.3978952727983707,0.7229571116862374,0.6211289544238601,33.345933584078324
log_jobs_resumed,0.0,1.0986122886681098,0.401124719734887,0.3660689369267469,44.345007465648564
log_tasks_completed,0.0,2.70805020110221,0.7422415691580263,0.7327989766295684,38.24207601731274
purchase_any,0.0,1.0,0.3045134098168554,0.4602032099904275,69.54865901831447
job_completion_ratio_capped,0.0,1.0,0.44907340527087425,0.41004120380869336,40.64053374662156
job_exit_ratio_capped,0.0,1.0,0.9198634210769422,0.2684269497333935,7.736868963692377
progression_gain,0.0,1.0,0.5534455098974452,0.44829661903353,23.942051446823793
mode_diversity,0.0,4.0,1.072445141658319,0.2805493111176374,0.0018900376117484737
