k,cluster,size,pct,mean_max_posterior,median_max_posterior,p10_max_posterior,low_confidence_lt_0_60_pct,low_confidence_lt_0_70_pct,mean_normalized_entropy
4,0,36175,34.18605530250052,0.9598493103183081,0.9996770939675653,0.85266082202626,3.3835521769177612,6.13130615065653,0.06286621567873742
4,1,55030,52.004384887259256,0.9572286727618388,0.9999083424024544,0.8250484238889758,2.5258949663819736,5.344357623114665,0.07092519292091176
4,2,7511,7.098036250921394,0.9998374246498672,0.9999999999223923,0.9999999905386048,0.013313806417254694,0.013313806417254694,0.00034896133468060615
4,3,7102,6.71152355931883,1.0,1.0,1.0,0.0,0.0,-7.850796500991099e-16
5,0,7108,6.717193672154076,0.9996479594271304,1.0,1.0,0.04220596510973551,0.08441193021947102,0.00047574953229426837
5,1,7518,7.104651382562513,0.9996222557357601,0.9999999998852074,0.9999999875488388,0.053205639797818574,0.053205639797818574,0.0005942638291004797
5,2,35833,33.86285887089153,0.9621082606984898,0.9999338405964285,0.8508912156413427,2.913515474562554,5.709820556470293,0.050645075819420265
5,3,46960,44.37808312385417,0.9639702235535687,0.9998865998565204,0.8747289048705883,1.8654173764906306,3.8948040885860307,0.055100769372940124
5,4,8399,7.937212950537716,0.991973971388917,0.9999620957709839,0.999668312380948,1.3215859030837005,1.5120847719966664,0.009159609543136717
6,0,19251,18.192557031884935,0.9644523765192972,0.998066279202876,0.8874392871351369,1.693418523713054,3.3608643706820422,0.05405691093130219
6,1,7519,7.105596401368388,0.9998368273017062,0.9999999998997957,0.9999999891218174,0.013299640909695438,0.013299640909695438,0.00026284179963343725
6,2,34433,32.539832542667604,0.9657740665224864,0.9996339916242354,0.8871426880503158,1.841256933755409,3.5924839543461213,0.05211496058893987
6,3,28573,27.00202234024457,0.963748422204709,0.9995892721564327,0.8855977940882397,1.777902215378154,3.419311937843419,0.05727804614946758
6,4,8934,8.442798011680432,0.9883313383961849,0.9999774752496116,0.9994459871052478,0.6156256995746586,1.0409670920080591,0.016863291560185498
6,5,7108,6.717193672154076,0.9998605915179782,1.0,1.0,0.014068655036578503,0.014068655036578503,0.0001891460465412004
7,0,12728,12.028199361167287,0.9151850465518558,0.9882944557267834,0.6885116461138492,5.868950345694532,10.700817096165933,0.11581677652653605
7,1,20796,19.65261108696063,0.9536656570196483,0.9988011004150205,0.829226464141307,2.9236391613771877,5.486632044623966,0.0645582251154532
7,2,7502,7.089531081668525,0.9996683656508282,0.9999999852825108,0.9999992743662593,0.0,0.026659557451346308,0.0005656380137116551
7,3,26122,24.68578124704682,0.964083855667997,0.995597796238908,0.8945258901311929,1.6499502335196388,3.5027945792818316,0.05269553478938794
7,4,25505,24.102704643822413,0.9158850927990032,0.9836146193785855,0.7100574004689496,5.077435796902567,9.468731621250734,0.11955611846383116
7,5,6063,5.729649020015498,0.8847505706126789,0.9729937389843234,0.6206087586462427,8.725053603826488,15.916213095827148,0.14388085235412645
7,6,7102,6.71152355931883,0.9999999999443899,1.0,1.0,0.0,0.0,4.6237294800574187e-10
8,0,23644,22.344024646090457,0.9612903597553362,0.9999605425650746,0.857449871648629,2.503806462527491,5.252918287937743,0.046558690748120524
8,1,7519,7.105596401368388,0.9997552257048831,0.9999999998742743,0.9999999852553613,0.013299640909695438,0.013299640909695438,0.0003096772500710264
8,2,9829,9.288589842937874,0.921329285707732,0.9767529016312683,0.7593271122699002,3.0827144165225353,6.633431681758063,0.1017145840103169
8,3,19144,18.09144001965639,0.9881597561068929,0.99996448559427,0.994254885570925,0.7260760551608859,1.3946928541579606,0.014807313473903752
8,4,5983,5.654047515545559,0.957629914723599,0.9981766536237994,0.855704165128281,0.685274945679425,1.9555406986461643,0.05814288914289981
8,5,7114,6.722863784989322,0.9993975896005669,1.0,1.0,0.09839752600506045,0.11245431543435479,0.0005743950413620484
8,6,15844,14.972877960271411,0.8918867778085658,0.977212964347733,0.6151747770182525,8.8803332491795,15.494824539257761,0.13022410231815917
8,7,16741,15.820559829140599,0.9156736851318631,0.9851763155728569,0.689509141320408,5.166955379009617,10.686338928379428,0.10207608231434467
