k,subsample_seed,subsample_frac,ari_vs_reference_full,ari_on_subsample_vs_reference,bic_subsample_fit,aic_subsample_fit,min_predicted_full_cluster_pct,max_predicted_full_cluster_pct
4,101,0.8,0.5993371720365052,0.6003945834811406,1164604.3702277427,1164202.4781392296,7.0970912321155195,54.10043659868832
4,103,0.8,0.5288848855840955,0.5280284716798144,1150769.9534072406,1150368.0613187274,7.102761344950764,43.1221531308473
4,107,0.8,0.6139856102051183,0.6135602632528537,1149985.1139786702,1149583.221890157,7.100871307339015,53.619422026498334
4,109,0.8,0.4851582498016795,0.4847928612995076,1167147.0913370838,1166745.1992485707,7.102761344950764,42.48710049329982
4,113,0.8,0.6492781827637573,0.648503217013101,1155904.7109815162,1155502.818893003,7.103706363756639,52.389007541250066
5,101,0.8,0.6062799498400678,0.6059951357281863,1014622.552379926,1014117.8506873746,6.71152355931883,30.062938252471223
5,103,0.8,0.6309143961169714,0.630319393111308,1058004.0760389434,1057499.374346392,6.71813869095995,48.50025515507759
5,107,0.8,0.4242273459075404,0.4243268621348854,1064412.1060997848,1063907.4044072335,6.71152355931883,33.345933584078324
5,109,0.8,0.9212983901423537,0.9208476743525161,1075939.6839792281,1075434.9822866768,6.443138218450548,46.304976469031736
5,113,0.8,0.6522184844220157,0.6505949857757731,1049282.758158717,1048778.0564661657,6.71152355931883,31.52110226993517
6,101,0.8,0.7634904213396357,0.7623842449565552,1029951.457526989,1029343.9462303994,6.395887278156835,35.55633257101816
6,103,0.8,0.5224730190655055,0.5217965144572354,1078092.1968265837,1077484.685529994,7.111266514203633,29.11886446540286
6,107,0.8,0.46292045948958077,0.4626085306264456,1023502.4819840192,1022894.9706874295,6.71152355931883,27.7419720652441
6,109,0.8,0.35364389214445063,0.35428731910815386,1026301.8805342843,1025694.3692376947,4.513409816855356,36.62136876523843
6,113,0.8,0.5824589107083376,0.5806500208577182,1021288.2310133898,1020680.7197168001,3.2933905384717153,41.98813056379822
7,101,0.8,0.6031755918921663,0.6024762977388086,967900.7312954261,967190.4103947983,2.675348239429965,27.814738513296415
7,103,0.8,0.4444300286941848,0.44456031521142103,983462.8927291512,982752.5718285233,6.618911716343155,41.59878281577804
7,107,0.8,0.4626875248287202,0.46390409445618747,1018670.1175433989,1017959.796642771,6.170027783552893,27.91491050671908
7,109,0.8,0.5733872971351218,0.5728886886165964,974119.6516166725,973409.3307160446,6.717193672154076,26.71095654803531
7,113,0.8,0.4332358748368485,0.43332657034739375,1066865.1270571856,1066154.8061565578,7.118826664650626,28.381749796820955
8,101,0.8,0.6739121731362825,0.6749760602685815,940746.3001244497,939933.1696197835,5.345026366024684,25.356744599217524
8,103,0.8,0.6313153629989404,0.6305400214728527,957309.3073210046,956496.1768163384,0.49991494830747135,21.848834791812358
8,107,0.8,0.5422158884579534,0.5420362748422362,968227.4328028164,967414.3022981503,4.300780585533652,30.348333931845247
8,109,0.8,0.5443103810601496,0.5446213551051646,923887.0620365213,923073.9315318551,3.732824283203236,32.566293069232074
8,113,0.8,0.553197509476586,0.5527344388782625,957357.2197342904,956544.0892296243,3.035400404468049,29.471356479993954
