k,bic,aic,log_likelihood,mean_max_posterior,median_max_posterior,p10_max_posterior,low_confidence_lt_0_60_pct,low_confidence_lt_0_70_pct,mean_normalized_entropy,min_cluster_pct,max_cluster_pct
4,1414791.2160322582,1414379.728567859,-707146.8642839295,0.9640195577254714,0.9998676953083868,0.8702964473096582,2.4712241773611296,4.876297038311062,0.058400458969181814,6.71152355931883,52.004384887259256
5,1324842.6212499293,1324325.8695504512,-662108.9347752256,0.9704919220133583,0.9999519730868345,0.9125480680763688,1.9259483263716948,3.7914154491674386,0.04240373088969822,6.717193672154076,44.37808312385417
6,1261869.415441897,1261247.39950734,-630558.69975367,0.9716011374890826,0.9997370284825918,0.9166689732337645,1.4411536789582113,2.7934755901642445,0.04371380150177813,6.717193672154076,32.539832542667604
7,1228167.1012495896,1227439.8210799538,-613643.9105399769,0.9449253324938373,0.9962559285592174,0.792440141548447,3.411517889205995,6.426127879944811,0.07672658120362157,5.729649020015498,24.68578124704682
8,1154207.921279797,1153375.3768750825,-576600.6884375412,0.9499191652730443,0.9988989101614324,0.8020970082637635,3.170538093708065,6.171917821164642,0.06152514247002628,5.654047515545559,22.344024646090457
